昵称,性别,地区,评论
网友天顺子,女,上海,我了个1.9亿啊
bili_13572327682,保密,安徽,台森然别卷了
吸口Cl2,保密,天津,11号月考今天刚赶到进度[酸了]还有几天刷真题就开考，我讨厌月考，为什么大学也要开[热]
bili_93322602551,保密,湖南,我咋找不到下册？
斯莫德225层了,男,浙江,[doge_金箍]
朵朵花开丶淡墨痕,保密,山西,[黑洞]
大傻狗不太萌,保密,北京,能不能讲一下大学物理[大哭][脱单doge]
花狼少年-,保密,黑龙江,太好了！还好不考！我就弄不明白一步西路德尔塔语言[doge]
-郊区图鉴-,保密,浙江,即将2亿
menghuann0,保密,广东,18分的那四个公式哪错了？后面的公式不也一样嘛
红旗飘扬_加油,保密,福建,1.几亿播放？
纯净军阀,保密,湖南,宋老师你的上节课哪里有介绍这几条线啊
十四笙橙,保密,江西,为什么这个内点小于2那里不等于2呀
_LLOOVVEE,保密,江苏,⎛⎝≥⏝⏝≤⎛⎝
小鸟伏特加整这个高,保密,河南,快两亿了
蝶泳老头爱碰瓷,保密,江苏,太厉害了吧！
想回到三天前,保密,广东,帅哥美女们，我需要你们[星星眼][星星眼][星星眼]
大肥猫天上飞邓超,保密,海南,[热词系列_知识增加]
思与在,男,福建,高数最后一部分——傅里叶级数归纳
bili_38401150365,保密,山东,能解答一下这个t的绝对值是怎么来的吗[委屈][委屈][委屈]
栁颜,保密,湖北,泰勒展开式只展开到x的一次方可以用吗？
踩着猫步上楼梯,保密,北京,@跳着鬼步下电梯
TTOFY,男,广西,1.9...........亿？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
意逐x,保密,湖南,25年前来报到[吃瓜]
纯净军阀,保密,湖南,不可以导怎么个不可导法啊第11分钟33秒
中距离硬解专家,保密,安徽,梦开始的地方
北冥没有鱼____,男,河北,重修考试过了[大哭][大哭][大哭]
是啊舒,保密,广西,怎么弹幕有些[笑哭][笑哭][笑哭]
彩色翅膀的舞蹈,保密,浙江,刷到这条太有共鸣了！大二正是分水岭阶段，我去年也疯狂焦虑简历单薄。后来跟着某项目线上实操两年，现在手握字节跳动数据岗成果集。真正参与过企业核心项目才知道，持续沉淀比短期镀金重要十倍。想弯道超车的同学快去＋uing1819
端木110豆腐,保密,内蒙古,有错误
bili_22516314793,保密,天津,这最后是不是有问题入＝1不应该是a和b两点重合了吗为啥是m是中点
洗衣液-----谢,男,四川,[doge][doge][doge]
bili_68019618573,男,河南,高考，决定了你在哪所大学里听宋浩[doge][doge]
琅琊王啊,保密,河北,[笑哭]本来失眠了想听听来助眠结果越听越上头
冬眠枕酒粉丝,保密,四川,[打call]
巴巴托丝儿,保密,湖北,考研数学可以看这个吗
积极学习者,男,河南,这节课宋浩老师用的设备是什么啊？有没有人知道说一下呗
予衫予,保密,安徽,[滑稽]
KO趴趴牛,保密,河北,已投币[打call][打call]
SITE02-极品安保,男,江苏,前来考古
瑞麟雪上,男,山东,为啥到了后面几章要把前面的留档 传之后讲的视频啊？（单纯不明白 求解答）
忘序wx,男,江西,[doge_金箍]
殇璃飞的,保密,黑龙江,讲的太好了
IDEALISTぇ,男,江苏,我不信现在还有人[脱单doge]
珍妮儿biubiu,保密,天津,说了考研的，专升本的，考证的，你倒是告诉本大一学生到底该看哪个
珍妮儿biubiu,保密,天津,不儿，这到底是大一上册的还是下册的
梦游的徐某,保密,江苏,那求u对y的微分是不是对两个式子求y的偏导
别想割我旧菜,保密,安徽,安徽专升本需要看哪些课程
考研田语英静,保密,云南,"大家好，我想问一下就是为什么这个r跟dr放一起不跟dθ放一起，按他这个图画的，rdθ表示弧度的微元，不应该放一起吗，如果面积D＝dθrdr，理解成长乘宽，那D＝rdθ，dr理解成宽乘长，那面积还是不变的，
可是如果放到积分里∫rdθ∫dr跟∫dθ∫rdr就完全不一样了[大哭]"
yuzuruhanyubts,保密,海南,因为是子数列，子数列第N项（也就是nN）一定是大于或等于N（原数列第N项）的（弹幕取）
根号2i的自然对数,男,河北,[doge_金箍][doge_金箍][doge_金箍]
----咸鱼用户----,保密,广东,所有式子用泰勒展开之后，都可以取第一项作为这个式子的等价无穷小吗
软件牢魏,男,河北,在例七那里，可以用(x＋1)的α次方－1的换为t，则(x＋1)的α次方就等于t＋1，x＋1就等于α次根号下t＋1，x就等于(α次根号下t＋1)－1，那么就等价于t/α，那么原式就等于t/(t/α)，即得α，我觉得可以不用那么麻烦[脱单doge]字丑了点，莫怪[藏狐][藏狐][藏狐]
㼹1熙,保密,山西,兄弟们我想考哈工大的研究生[脸红]
bili_93440389448,保密,山东,"星佩燕来看电影版了！(曲师大星佩燕是个人物,每次必到)"
意创呢,保密,青海,大四了，宋浩老师真的比我们大学有的老师强多的
过期的秋刀鱼鱼,保密,黑龙江,这个课程是哪本教材啊
老Jiooob,保密,北京,https://www.bilibili.com/video/BV1Eb411u7Fw?t=2034.1&p=104
柒__-_,保密,重庆,大学不能没有宋浩，就像西方不能没有耶鲁撒冷
bili_38950942258,保密,山西,中北24级李浩报道
吟初叹往,保密,河南,大一上高数上99分，感谢宋浩老师
木牙芽,保密,浙江,宋浩老师我们喜欢你🥹🥹🥹
不吃笨鱼呀lsy,保密,江苏,50:11 为什么第一种不可积呀[大哭]
去看落日的余晖,男,浙江,[星星眼]
1-0-01,保密,贵州,高数毕业打卡[给心心]
大清臭猫,保密,江西,镇站之宝
烈劫若梦,女,广东,我记得老师在某个网站上有习题讲解是在哪个网站呀
秋暝Autumn,保密,安徽,破两亿踢我[给心心]
小鹿儿s_波兰球,保密,江苏,破亿打卡
珷者,男,河南,[吃瓜]
飏愈,保密,黑龙江,请问看宋老师的高数课需要用到同济版高数教材嘛
泽爱zyh,保密,四川,25年了，我还在看宋老师的视频[doge]
酷酷史莱姆,保密,河北,老师这个2xy对x求偏导答案错了应该是2y而不是2x
你就是个挂B,保密,湖北,既然无穷小有快慢之说，无穷小减无穷小不就不成立了吗，前者慢于后者不就成一直增长了吗
开心的猕猴桃555,保密,浙江,"最近刷到好多同学聊职业规划焦虑，想起去年这时候我也在迷茫期。幸亏被拉进一个校友推荐的跨校社群，里面全是各校顶尖选手和名企导师，第一次发现优质信息差能救命 

群门槛很高但氛围超好，每周都有不同领域的大佬分享行业干货。上个月刚蹲到某大厂的内推名额，现在简历已经过初筛了！想突破圈层的可以搜@uing1819，记得备注学校+职位"
牛牌美都西瓜,男,山东,韦神附体
回到家gh,保密,吉林,各位，留档是什么意思呀[doge]
春江花雨落,女,广东,"感谢恩师，全程无倍速，所有知识点全部理解并生成可供快速阅读重新掌握的书面资料，将为概率论、复变函数奠定扎实基础。期待与下阶段学习概率论时与您再会，学生再拜为谢。
https://b23.tv/5Ox4xJn 此为微积分最后一章的笔记，涵盖前提、推导补充和拓展的物理意义讨论（旋、散、梯度），需要可自取"
--觅音--,男,河南,专升本私信本人好价哦[嫌弃]
嗯对啦ms,女,天津,感恩有宋浩老师，要是有离散数学的课程更就好了
胖Karry,女,山东,这是高数一还是高数二还是高数三
五月illy,保密,浙江,截个表情包[doge_金箍]
贝妮麻麻,女,江苏,天呐[喜极而泣][喜极而泣][喜极而泣]
橘子吐果汁,女,上海,现在网页版看不到具体播放量了（之前鼠标放那可以看到的）也不知道离2亿还有多久
walterrrrrrrrrrr,男,湖南,快两亿了
态度搁那也不,男,河南,我去，1.9亿[辣眼睛]
米线从不过桥,女,上海,[热词系列_好耶]
枯木逢春-yyds,男,山西,没有曹文军教的好
Type_lkaros,女,广西,[热词系列_谢谢老师]
董道不豫_,保密,河南,[热词系列_谢谢老师]
陌然9527,保密,河南,[OK][热词系列_谢谢老师]
Dendroaspis24,男,上海,why？
分儿从四面八方来-,保密,内蒙古,为啥mg随便加啊
晦日向光,男,江西,@春临星崽
BlackSheepEyes,保密,浙江,永远有人看系列
向老师学艺术,保密,辽宁,1.9亿！！！？？
李丽李可欣,男,辽宁,大学数学我看不懂学不会
DaShuAiio,保密,广东,拉格朗日那个去哪了
路明飛c,女,福建,666
zzs0208,保密,黑龙江,大一下学期要上电路（三科合一版），大物，高数，概率论，力学材料与设计（理论力学＋材料力学），什么，你问我为什么没有c语言，因为大一上学期学校给我们突击完了[藏狐]
儿雀雀雀,保密,广西,这个适合考研看吗？
闷莫瑞,保密,四川,什么时候更新啊，催更催更[打call]
根号2i的自然对数,男,河北,[打call][打call][打call]
朝暮醉梦,保密,湖北,已经适应两倍速的宋老师啦[星星眼]
语译,男,韩国,有没有人知道双曲线函数及其导数在哪节讲的[大哭][大哭][大哭]
这周也要开心鸭,保密,安徽,这个可以当考研基础课来学吗，27考研路过[微笑]
根号2i的自然对数,男,河北,"建议屏蔽""开卷"""
小小洋讲几个数学题,女,湖南,简单好用
银辉月人,保密,四川,学！
bili_48139914742,男,福建,真不错，我现在一个字都看不懂。
听说熬夜头发会掉光,保密,河北,一个函数的逆映射是不是一定是满射啊
冬阳客栈,保密,黑龙江,浙大宁波理工王发二别卷了
冬阳客栈,保密,黑龙江,浙大宁波理工王发二别卷了。。。。。。。。。。。。
冬阳客栈,保密,黑龙江,浙大宁波理工王发二别卷了。。。。。。。。。。。。。。。。。。
冬阳客栈,保密,黑龙江,浙大宁波理工王发二别卷了。。。
冬阳客栈,保密,黑龙江,浙大宁波理工王发二别卷了。。
冬阳客栈,保密,黑龙江,浙大宁波理工王发二别卷了
龙争虎斗,男,河北,以后要考数二，内容看到哪就可以了？？
我刷剑,保密,重庆,cjh别卷了
我刷剑,保密,重庆,李佳益别卷了
须弥澄,保密,河北,有大佬能给我说一下这个题吗
劉東楊,男,广东,这个偏导数转化完怎么没条件了？求解
误杀xx,保密,内蒙古,数列1/n的极限不是0吗？
阿蛋儿LMH,男,山东,@飞翔的企鹅十一 快来学习
无敌洛大王,男,四川,@EZRemaker
户引友治,保密,江苏,@克萊恩_莫雷蒂 @呵后有呵 @ZM白曜石 那我问你你们不复习的吗
learner专业号,保密,河南,[呲牙]
行以见智,男,湖北,失眠了看看。
灼灼桃花放心上,男,广东,考研温故知新
一只卡库库,男,山西,一亿播放量
月兑单,保密,湖北,邓翔福我知道你在看
花狼少年-,保密,黑龙江,后来，我们还是拜入了同一位老师门下
灰城的鸽子,保密,江西,1.9亿?！！！
wdnmddhdh,男,四川,7-7
千之清,保密,广东,老师在家录的视频不是都是看视频的吗[呲牙]
洛星999,保密,河北,求笔记 家人们[蹲蹲][蹲蹲][蹲蹲]
纯鱼木心,男,河北,极限犹如拼多多砍一刀，你只能无限接近但是无法到达[笑哭]
哈尔滨佛教,保密,四川,[笑哭][doge_金箍][笑哭]
无记的西鱼,保密,上海,后面的留档是啥意思
熋燰,保密,浙江,好👌
赤旗将会插遍全世界,保密,福建,正在被二次函数几何压轴题折磨的初三生前来报道
wdnmddhdh,男,四川,7-6
爱学习的yxz,保密,浙江,[doge_金箍]
一颗小团子-,保密,河北,25年了
萌新夏泽,男,湖北,播放量全战第一[笑哭]
落日晚风与海,保密,河北,考研看这个，可以吗[打call]
未来的Dr-张,男,湖南,学西综累了看会儿数学[doge_金箍][doge_金箍][doge_金箍]
気氕氘氚氜,保密,江西,助力两亿大关[打call]
西藏佛祖,保密,中国台湾,"好爽! 目前: 之前693現在695 目标：考上清大

[热词系列_干杯][热词系列_干杯][热词系列_干杯][热词系列_干杯][热词系列_干杯]

事成后关注的一人一红包[呲牙]"
钗雫兔,男,广东,要命，4点53分了睡不着来这里听听课不知道管用吗[灵魂出窍][灵魂出窍][灵魂出窍][灵魂出窍]
名称已存在我不取了,保密,河南,@哈基米响 @哈基又米塔 失眠看看
名称已存在我不取了,保密,河南,@哈基米响 @哈基又米塔
彬彬天天开心_,保密,上海,宋老师！能不能录一下二元函数的泰勒公式和最小二乘法T^T
腾龙洞堡,保密,安徽,想问一下，速刷的大佬都是花了多少时间刷完的？[蹲蹲]
根号2i的自然对数,男,河北,高娄
思雪是只F,保密,浙江,@季墨123
穆俣,女,四川,这里不把y，z看作常树是因为此处需要求导而不是求偏导
盐禾吾,保密,陕西,高数大电影
初舞_月白,保密,广东,"wc2e冲冲冲
我大一看的时候才3千万吧[doge][吃瓜]转眼快毕业了"
㼹1熙,保密,山西,打卡第二天
李淑芬的小菜园,保密,上海,der～
classronin,保密,新疆,pip install ice_mouse
霍翔宇,保密,山东,[doge]
奧本海姆,保密,湖北,求助，行列式加矩阵的综合题，花红圈这一步有点看不懂，有人帮忙看看怎么得来的吗
lsl木子,保密,河南,想问一下用的哪本教材
非学无以成人,保密,北京,宋老师怎么突然年轻突然沧桑的[笑哭]
星晚知秋,保密,山东,鲁东大学的学生在听课
㼹1熙,保密,山西,打卡第一天
hans-革离,保密,广东,为啥开不了字幕[tv_疑问]
宠卿-,保密,上海,第七版的可以看这个吗，一样吗
高冷凌少,男,江苏,宋浩老师的这个课程适合专科大一新生和专升本考生听吗
3740基金会,保密,江西,[脱单doge]
别在烟雨江南,保密,天津,有时没生气故意闹脾气
只需等待冷门信仰玩家,男,山西,我想问一下新版和旧版有什么区别啊，我想用这个先过一下考研基础
韩舒沛纳海,保密,河南,26考研可以看这个课吗
原宝Y,男,湖北,[热][热][热]
为什么名字不能太长_,保密,江苏,大家是听新版还是旧版啊
紫兰鸦灵b,保密,河南,有人要老师的高数上吗 我买了没怎么写过
山谷会有路灯吗,保密,河北,请问一下大家，这个z＝f（x，y）函数为什么是立体的呀，它没有z坐标呀
我是最可爱的哈哈,保密,安徽,37 : 37
我是最可爱的哈哈,保密,安徽,37:53
成子不熬夜,男,安徽,找安眠药来了
一只普通的数竞生,保密,天津,我一个初中树精生是积了多大的德才刷到了这个？！
如意棒棒唐,保密,广东,@一尺盈山茶
选帝侯,保密,湖北,听老师偶尔来点鸡汤还是很有感触  学习需要一点热血 磨磨蹭蹭是学不好的
图书馆里打游戏,保密,重庆,有没有常系数非齐次线性微分方程的后续啊，第二种还没有讲
一起淋过雨的屋檐_,女,广东,呜呜呜来学高数了好难
若离是我儿子的儿子,保密,河南,高数真是难啊
小沐Seagull,男,四川,看高数真的爽
小沐Seagull,男,四川,爽
wdnmddhdh,男,四川,7-4
嗷呜小星星,女,湖南,请问，26考研可以看这个吗（￣▽￣）
别在烟雨江南,保密,天津,我问你却什么都不说
椿久2,男,河北,想听爱听，喜欢听[桃源_给花花][桃源_给花花][桃源_给花花]
焚风烈日,保密,河南,哈哈哈哈哈哈哈哈哈哈哈哈哈
焚风烈日,保密,河南,你牛
根号2i的自然对数,男,河北,τ
主教本尼迪塔斯,保密,江苏,我
哔哩用户2939,保密,北京,天啊1.9亿播放量
火影是永远的神,保密,山东,@灭-曜
汉堡包要放菜,男,广东,低头宋浩香
是星辰辰呢,女,广东,"题目: 03:26  04:50  06:26  08:15  11:16 
 12:54  15:19  16:39"
清徵无音,男,江苏,宋老师，初中高中没学好可以直接学高数吗
撞墙闪现_,男,江苏,1.9亿播放量了，什么时候破2亿[doge_金箍]
y啦啦-_-,保密,天津,[星星眼]
yi只帅鸽,保密,山东,[星星眼][星星眼]
菁芸听雨,保密,天津,看到大家都没有字幕我就放心了[脱单doge]
小约翰可汗追随者,保密,广东,好
0Anamnesis,保密,湖北,没字幕了
MrZwwwjun,保密,辽宁,为啥没字幕了啊
一叶萱芒,保密,江苏,为什么没有字幕了啊[大哭][大哭][大哭][大哭][大哭]
灰原阿姨,保密,河北,"为什么!  !没有  字幕了!  !  ![大哭][大哭][大哭]
对不起宋浩老师，但是没有字幕我真的看不下去呜呜呜呜呜呜呜呜呜呜呜"
祺越_,女,安徽,[星星眼][打call]
小雨霖绫,保密,福建,老师在讲台上讲PPT，我在下面看宋浩
bili_39653415138,保密,湖北,逆天进度条
Notsomebody,女,江西,打卡
拉法发,保密,天津,20多年前在同济大学由数学系老师讲授的高等数学。现在回头再复习。
youth一,保密,陕西,不是最近这个课怎么没有自动生成的自动生成的中文字幕了，是卡bug了吗？大家一起反映一下呗向客服[大哭][大哭][大哭]
夙汇,男,上海,已经过去了六年，再次感谢宋老师，讲的真的很好
夹住大西几,保密,陕西,字幕咋没了
bili_85289607719,保密,湖南,2025.3.16
第五人格嫩蝶,保密,河北,谁能告诉我这个括号里面的前后顺序有什么说法吗，弹幕也没看懂[跪了][跪了][跪了][跪了][跪了]
bili_13258175806,男,内蒙古,内蒙古工业大学打卡[蹲蹲]
xmsijwncudiamz,保密,北京,04:00
xmsijwncudiamz,保密,北京,4:00
VKForeverYoung,保密,山东,豪刊
mynameis艾伦,保密,辽宁,捉
我知道时间值得去爱,保密,广东,为什么没有字幕功能了
屋里的第三,保密,重庆,[热词系列_大师球]
宁小萌蜜小桃_,保密,陕西,高阶偏导在宋老师微积分6.3，56：25开始
羽靈灵,男,山东,定积分元素法10：55那里好像有跳帧
崔乃,保密,河北,两个币
Cx330sa,保密,山东,大一上看宋老师的高数，拿下100，大家继续加油啊！！！
飞怀伓,保密,江西,为什么还有200多人啊
youth一,保密,陕西,中文自动生成字幕咋没了，真的很需要[捂脸]
命苦的剧女,保密,上海,上海大学大零学生报道
youth一,保密,陕西,老师的课咋没有字幕了啊啊啊，上课的时候得看字幕啊
牢信打王者,男,河南,[热词系列_谢谢老师]恭喜两亿
w云臻,保密,湖南,我的字幕呢[大哭][大哭][大哭]
惊鴻-_-_-,保密,辽宁,"20：00
58：26
72：40"
穆俣,女,四川,偏z的自变量是xy，偏f的自变量是uxy
我叫甚谁,保密,陕西,这个字幕
蓝--曦,保密,安徽,我一直想问，大家听完课之后，同济书上的习题是不是都会写了？
蓝--曦,保密,安徽,听完课之后，大家同济大学书后的习题应该都会写了吧？[doge]
倒数第二排的,保密,山东,加油加油[大哭]
泛舟悠万营,保密,广东,看成哈基洛还有救吗[笑哭]
Net南星,保密,辽宁,快两亿了
中仰,保密,安徽,今天看课突然发现老师视频水印居然是宋浩大老鼠[吃瓜]
jekar2号,保密,四川,昨天国际数学日啊，宋老师也要快乐哦！[滑稽][脱单doge]@宋浩老师官方
枫丹公社娜维娅,保密,四川,字幕没了
blbl_fish,保密,黑龙江,二重积分的定义与性质，这节课在电脑上能看到，但是在电视上的小电视上看不到，这是为什么呢？
清风-___-_,保密,辽宁,那个二阶常系数线性非齐次方程的第二种形式在哪看？
ohw-rotcod,保密,福建,为什么我开不了字幕 你们可以吗
旗木的手里剑,保密,北京,感谢宋浩老师和您团队的讲解！自学高数的人有福了。。[呲牙]
麦田的谁,女,山东,“卷卷卷”有爷名[滑稽]
bili_38401150365,保密,山东,高数二要看到哪个视频
绿老头在此,保密,广东,宋浩老师，我们学校先讲十二章再讲前面的，进度对不上了[笑哭]能更一下吗@宋浩老师官方
垚麥,保密,江苏,我想知道，这样上课的时候拍视频，真的不会影响在现场的同学听课嘛[捂脸]
有機神_山羊酸,男,陕西,9-10 12：07
飞机拉线-,男,山东,想问一下，数三看这有差别吗
伍T2Om,男,广东,1.9亿播放量[惊讶]
睡到歌头,保密,四川,冷知识，无人在意你谁谁实名开什么卷
tatatata獭,保密,陕西,过过过
卢卡斯丶z,男,广东,点名批评宋浩老师！没有讲反三角函数求导的推导过程[脱单doge][脱单doge][脱单doge]倒三角函数求导，本质上就是反函数求导，利用三角形三边关系勾股定理，或者利用sinx方+cos方＝1进行转化，然后化简从而求到，y丿[呲牙][呲牙][呲牙]我会了[脱单doge][脱单doge][脱单doge]老师没讲，反三角本来就复杂！推导过程不能少！这样方便学生即使忘记，也可以花时间推导出来[脱单doge][脱单doge][脱单doge]
妙笔随心,男,河南,失恋了，学会儿高数麻痹自己[难过]
-沐小柒-,保密,河南,1.9亿
bili_61883832300,保密,云南,多元函数的连续性为什么没讲
在下不是羅栗控,保密,四川,新版感觉剪辑剪掉太多了，只能快速过一遍
泡泡茶壶哦哦,保密,四川,@悠闲白柠檬
翊沣wyf,男,湖北,[doge_金箍]
漫悠悠喂,保密,湖南,然后，你会发现，da比dt，就是曲线切向量，而你把偏导的那三个看成一个向量的三个坐标，就满足向量积为0，即垂直切向量，所以他是法向量
浅螭,保密,内蒙古,我懂了，分部积分的意义就是先给前面的求积分，找一个求导不是很影响值的部分求导拉到后面，然后用分部积分把前面的换到后面，然后把被换到后面的部分求积分，所以后面的一般是e^x或sinx  cos x这一类的
38403140515_bili,保密,安徽,问一下考研数一看完这个可以吗
小小洋讲几个数学题,女,湖南,简单明了
tugsahur,保密,山东,[doge_金箍]
bili_68443705049,保密,陕西,只有上册的吗
账号已注销,保密,广西,弹幕闹麻了，没人想知道你是哪个大学的，也没人想知道你是什么时候来的
CuK-O,保密,河北,老师什么时候讲离散数学[doge_金箍]
求人不如求己ya,保密,陕西,😇
猪猪骑车车,保密,河南,高中数学很差能听懂吗？是不是需要先把高中一些数学基础先补上啊
無齿之人,保密,北京,@柒悦十三 @发呆区大梦
风叶鸣廊下,保密,湖北,看了半天给我看懵了
风叶鸣廊下,保密,湖北,uv不是关于t的函数吗，怎么求个导直接变成0了
